,Title,Rating,Employee_Status,Pros,Cons,Date_Posted,Employee_Title,Location,
524,Strong Growth and Leadership,5,"Current Employee, less than 1 year",Aptiv provides many opportunities for growth. It's exciting to have mangers that help to foster your career and truly lead by example.,"It can sometimes be challenging to meet everyone you work with due to the global locations and size of Aptiv,",16-Jan-18, Anonymous Employee in Troy, MI,
525,Good Place to work,5,"Current Employee, more than 5 years","good place to work, good culture, good interaction with global teams, exposure to advanced technologies related to autonomous driving, sensors, multimedia....","lesser interaction and transparency with site leadership, HR team is very slow",30-Aug-18, Software Engineer Advanced in Bangalore,,
526,Well taken care of,5,"Current Employee, less than 1 year","Salary, little perks, fellow staff and immediate supervisors. Easy to work with and for. They value an honest days work.",Information can be confusing at times and communication can be contradictory but that’s due to the startup nature of this company’s division. Improvements are evident.,24-Apr-18, Test Operator in Las Vegas, NV,
527,Systems Engineer,4,Current Employee,#NAME?,#NAME?,21-May-18, Anonymous Employee ,,
528,Been an amazing learning experience!,5,"Current Employee, less than 1 year",Flexibility in timing. Interesting projects. Friendly work culture. Competitive compensation and work life balance,Not much to say. Sometimes work is thrown around instead of being owned up to by the actual person.,26-Dec-17, Mechanical Engineer in Detroit, MI,
529,Senior Account Manager,3,Former Employee,"A lot of good people, but many left through voluntary separation.","After the new CEO came in, the culture completely changed in a bad way. Many good people walked out the door. Management by intimidation. Very unrealistic revenue and margin targets drove all decisions. No Customer focus.",21-Jan-18, Anonymous Employee ,,
530,Great Team with Ownership and high motivation,5,"Current Employee, less than 1 year",High knowledge and quick actions mentality to make things happen. Strong financial driven and success orientated,Processes and Tools could be more lean,03-Mar-18, Anonymous Employee ,,
531,Better Salary compared other automotive,4,"Current Employee, less than 1 year","Company is providing competitive salary compared to other automotive companies, good work life and personal life balance","I feel there is no learning for me, apart from that every thing is good",12-Jul-18, Senior Engineer in Bangalore,,
532,Aptiv Connection Systems,4,"Current Employee, more than 3 years",#NAME?,-Need to maintain balance under pressure and focus on long term strategy -MS tools(PPT & Excel)!!,26-Jul-18, Anonymous Employee ,,
533,Decent place,4,"Former Employee, more than 1 year",Good leaders Decent work life balance Nice people to work with Varied career paths within the organization,Work culture and flexibility is entirely dependent on the team.,26-Feb-18, Analyst in Troy, MI,
534,Shippinh & Receiving Supervisor,4,Former Employee,"Great team work, wide range of activities to learn from & opportunity to grow","Very demanding with working extra hours, tension between departments & people within the operation",31-Jul-18, Anonymous Employee ,,
535,Needs to focus on innovation and R&D,2,"Current Employee, more than 1 year","Lot of projects. Revenues are all time high. Good project booking, happy shareholders, flexible working hours","Lot of projects but most are on support, integration and bug fixes. Need to focus more on design projects, algorithm development and innovation rather than being service centre. Adas is going through a very interesting phase, wish management focuses on cashing in on the opportunity and take up interesting challenges rather than being low cost centre.",07-Aug-18, Technical Leader in Bangalore,,
536,A new home,5,"Current Employee, less than 1 year","Great place to work, good pay, great benefits, great co workers, and great communication with superiors.",None found as of yet.,26-Mar-18, Current Employee in Las Vegas, NV,
537,Good Place to work,4,"Current Employee, more than 3 years","Good Salary, Good Hike, Lots of trainings, Good career growth, No Variable Pay, Team Lunch and Outing",Some Managers are HIGHLY unprofessional,30-Jun-18, Senior Software Engineer in Bangalore,,
538,Expert Software Enginner,4,"Current Employee, more than 3 years","interesting projects, possibilities of promotions, budget for training","big corporation with typical problems that you encounter when you get higher in hierarchy (problems with financies, delays, IT etc)",25-Feb-18, Expert Software Engineer in Kraków,,
539,"Good, but still traditional",4,"Current Employee, more than 5 years","Good people, always willing to help","Constant reorgs, relatively low salaries",22-Apr-18, Technical Manager in Kokomo, IN,
540,"Good, but still traditional",4,"Current Employee, more than 5 years","Good people, always willing to help","Constant reorgs, relatively low salaries",22-Apr-18, Technical Manager in Kokomo, IN,
541,Great Company to work,4,"Current Employee, more than 1 year",1. Challenging work to perform. 2. New Technologies to learn. 3. Balanced work life. 4. Supportive Management. 5. Good Pay structure.,1. Immature HR department. 2. People are not so helpful.,01-May-18, Software Engineer Advanced in Bangalore,,
542,Enjoyable atmosphere. Crazy how a large corporation can have a family feel.,5,"Current Employee, less than 1 year",Salary is better than most in this area.,We are a little understaffed.,01-Jun-18, Product Engineer in Warren, OH,
543,Good organization to work with,3,"Current Employee, more than 5 years","Good work life balance, most of the time no issues to take personal leave, co-operative work culture, supporting team members","Need to improve on technical ownership, even after 15 years of it's inception Tech center India mostly works like a services company (to internal customers) rather than a product company.",29-Jan-18, Technical Lead in Bangalore,,
544,Good company to start working,5,Current Employee,"Good managers, good colleagues, good opportunity","Many trainings, hope start work sooner.",02-Apr-18, Anonymous Employee ,,
545,"Cutting Edge Technology, Combative Culture",1,Former Employee,"Aptiv (formerly Delphi), is at the leading edge of the technological revolution in the automobile. They are one of the best positioned public companies in the space. For an aspiring software engineer or Artificial Intelligence expert, it's probably an excellent place to work. You will likely be challenged to create ground-breaking technology. You'll be involved in something big, which promises to fundamentally change how we live over the next few decades. Of course, one must keep in mind that the separated companies (Aptiv and Delphi Tech) are also ripe for consolidation. By accepting a role there, you will be joining a company that has a solid chance of being acquired or joining forces with a larger tech or automotive giant. The pay is good, and it should be if you are an engineer that's in demand, or if you are in finance and have to cope with the crap administered from Corporate. Benefits are solid, but don't expect HR to do much to help you with anything. You're definitely on your own at this Company.","I worked at Corporate, so I cannot say what it's like being an engineer. I can say that working in Corporate Finance, or anywhere near the C-suite is a most unpleasant experience. The general culture is, in one word, combative. I've worked for other large companies, and never seen anything like it. The hours will be long, tense, and filled with angry, aggressive people. Management runs a tight ship, but has created a toxic, unpleasant environment. One can expect profanity, irrational anger, backstabbing, displaced aggression, red-faced put-downs of employees, threats of firing, and the occasional crying assistant. Employees even joke about the level of stress and misery of people on ""the fifth floor"" in Michigan. There's a reason there is so much turnover in the finance department and other Corporate functions. Overall, my time at the Company was an awful, unrewarding experience I came to regret. Don't go to Corporate unless you have a take no prisoners attitude and a thick skin.",10-Jan-18, Anonymous Employee ,,
546,"Great Employees, Supremely Disloyal HR",2,"Current Employee, more than 1 year","Flexible work schedule, competitive pay (for me, anyway), exciting products in cutting edge tech spaces.",Seemingly volatile corporate HR needs. Ask current and former corporate employees how many times they saw sudden staffing cuts or job relocation they disagreed with or thought was handled wrong.,27-Feb-18, Anonymous Employee ,,
547,Autonomous operator,5,Current Employee,"Great benefits, great coworkers, treated well by management and supervisors. Flexible schedules, great environment to work in.","None yet, everyone and everybody has been great",06-Apr-18, Anonymous Employee in Las Vegas, NV,
548,Century Old Company,4,"Current Employee, more than 3 years",1. Less work Pressure 2. Corporate Culture 3. Strict Internal Controls,1. No flexible timings for even executives in Manufacturing plant. 2. Lots of hierarchy for approvals,26-Jul-18, Account Executive in New Delhi,,
549,R&D Software Engineer,5,"Current Employee, less than 1 year",great place to work; free breakfast and lunch; good work and life balance; nice team members,maybe location if you prefer silicon valley,27-Mar-18, Software Engineer in Pittsburgh, PA,
550,Good place to work,4,"Current Employee, more than 3 years",Good team members and Supportive managers,Food and facilry are the concerns,10-May-18, Advance Software Engineer in Bangalore,,
551,Advanced technical leader,5,"Current Employee, more than 3 years",Good company to explore technical possibilities,There are no cons for this company,23-Aug-18, Advanced Technical Leader in Bangalore,,
552,Work Environment,4,"Current Employee, more than 1 year",Your are free to learn as much as you can,"Very less onsite opportunities, only 1 or 2 months for vehicle testing.",19-Apr-18, Software Engineer in Bangalore,,
553,Strong Company Culture!,4,Former Employee,Empowerment is very strongly encouraged,Restructuring is constant and this is a con,15-Jul-18, Anonymous Employee ,,
554,Great Company,5,"Current Employee, more than 5 years",Exciting work! Love working here.,"Has made major progress, but still updating to be a ""silicon valley"" style company.",05-Dec-17, Electrical Engineer in Kokomo, IN,
555,Director Vendor Management,5,"Current Employee, more than 3 years",Interesting field and great team to work with,Dynamic with constant change but can be slow to act,26-Mar-18, Director, Supplier Alignment in Troy, MI
556,EGM,5,"Current Employee, more than 3 years","Cutting edge technologies, challenging work,diversified skill enhancement opportunities","Poor work life balance, fire fighting approaches",19-Dec-17, Anonymous Employee ,,
557,Great Place to grow your career,5,Current Employee,Very technical and challenging work Good Work life Balance,Less Recognition and Rewards for employees,04-Mar-18, Technical Leader in Bangalore Rural,,
558,Exciting Transformation Happening,5,"Current Employee, more than 3 years",Great Product Portfolio and love working with smart people,High expectations and impacts work life balance,09-Mar-18, Anonymous Employee in Troy, MI,
559,Product Engineer,4,"Former Employee, more than 5 years","Nice envoriment to work, systematic,easy to use tools and trainings","Work load pressure, stress, very big and bulky organisation",20-Mar-18, Anonymous Employee ,,
560,Product Engineer,4,"Former Employee, more than 5 years","Nice envoriment to work, systematic,easy to use tools and trainings","Work load pressure, stress, very big and bulky organisation",20-Mar-18, Anonymous Employee ,,
561,software engineer,4,Current Employee,well communication with workmate. time balanced for work and family,rate of salary increase is low.,12-Apr-18, Anonymous Employee ,,
562,Good Work. Good work life balance,4,Current Employee,Free to do any task. Open to innovation,Food and facility is not good.,29-Aug-18, Anonymous Employee ,,
563,Decent Embedded employer,4,"Current Employee, more than 5 years","Decent growth, on-site, good for performers",Bad for average ppl and worst place for non contributors,26-Dec-17, Anonymous Employee ,,
564,Global End User Compute Senior Service Manager,4,Current Employee,It has been a long career.,Has had its ups and downs.,09-Mar-18, Anonymous Employee ,,
565,Lean,4,"Current Employee, more than 5 years","International company , good job opportunities abroad","Too busy, average wage , less promotion opportunities",15-May-18, Lean in Fort Myers, FL,
566,Good company for long term,5,"Current Employee, more than 1 year",Managers are supportive and good leadership opportunities\,Not expected salary package criteria,27-May-18, Design Engineer in Fort Myers, FL,
567,Good plan to learn,4,Current Employee,Quite a lot to learn Flexibility in timing,Too much work pressure Politics at workplace,16-Dec-17, Anonymous Employee ,,
568,good company culture,5,Current Employee,It is happy to work here.,Nothing special in my mind.,07-Jun-18, Anonymous Employee ,,
569,Maintenance Supervisor,4,"Current Employee, more than 1 year",Good place to work at,Not appreciative in your job,26-Jun-18, Maintenance Supervisor in Amf G Boro, NC,
570,assistant Plant Manager and Quality Systems Responsible,3,"Current Employee, more than 3 years",It is great as a starting job,"not well paid , not struggling for keeping their good people",08-Jul-18, Assistant Manager and Quality Systems Responsible ,,
571,Design Engineer,3,"Former Employee, more than 1 year",Direct engineering services from Aptiv company,Very small canteen facilities and no breakfast and dinner available in canteen.,26-Jun-18, Anonymous Employee in Chennai,,
572,OPERATIONS MANAGER,2,"Former Employee, more than 8 years","Multinational company, respect to human rights, no discrimination","low salary, too much change in management, short term management style",18-Aug-18, Anonymous Employee ,,
573,Manufacturing Engineering-Project Engineer,3,"Current Employee, more than 3 years",Manufacturing and project managent is so close to my skills and my tools,"down salaries for engineers, unfair management",22-Feb-18, Project Engineer in İzmir,,
574,Have been with them a year,2,Current Employee,Good location in the silicon valley,The location is closing down,21-Jun-18, Anonymous Employee ,,
575,Good Work Environment,3,Current Employee,Latest tech projects in Automotive industry,Teams not well organized or communicated,09-Jul-18, Anonymous Employee ,,
576,Nice place to work,3,Former Employee,Good learning curve. Better work life balance.,Should strictly follow the process.,16-Aug-18, Anonymous Employee ,,
577,Logistics Buyer,2,Current Employee,Great working environment in terms of employees.,Mainly salaries are extremely low.,11-May-18, Anonymous Employee ,,
578,worst place i have ever worked,1,Former Employee,"good salary, nice area for future","feeling like tool, no work-life balance",14-Jan-18, Entwicklungsingenieur in Wiehl,,
